,spot_price,current_time,strike_price,best_bid,best_offer,ticker,market_price
87,15778.16015625,0.6356164383561644,15700.0,1095.7,1120.4,NDX,1108.0500000000002
88,15850.4697265625,0.6328767123287671,15700.0,1146.9,1166.8,NDX,1156.85
89,15972.490234375,0.6219178082191781,15700.0,1201.5,1219.1,NDX,1210.3
90,16144.5,0.6191780821917808,15700.0,1306.9,1326.6,NDX,1316.75
91,16346.240234375,0.6164383561643836,15700.0,1459.9,1485.2,NDX,1472.5500000000002
92,16359.3798828125,0.6136986301369863,15700.0,1505.1,1530.8,NDX,1517.9499999999998
93,16336.0302734375,0.6054794520547945,15700.0,1499.3,1514.3,NDX,1506.8
94,16219.9404296875,0.6027397260273972,15700.0,1421.6,1444.7,NDX,1433.15
95,15985.5703125,0.6,15700.0,1275.6,1294.8,NDX,1285.1999999999998
96,16032.4697265625,0.5972602739726027,15700.0,1284.7,1299.8,NDX,1292.25
97,16199.8896484375,0.5945205479452055,15700.0,1383.4,1399.4,NDX,1391.4
98,16189.1201171875,0.5863013698630137,15700.0,1387.1,1400.6,NDX,1393.85
99,16309.76953125,0.5835616438356165,15700.0,1459.3,1476.8,NDX,1468.05
100,16308.0703125,0.5808219178082191,15700.0,1465.4,1484.1,NDX,1474.75
101,16482.970703125,0.5780821917808219,15700.0,1584.9,1605.2,NDX,1595.0500000000002
102,16573.33984375,0.5753424657534246,15700.0,1664.9,1684.4,NDX,1674.65
103,16380.98046875,0.5671232876712329,15700.0,1550.5,1580.7,NDX,1565.6
104,16306.7197265625,0.5643835616438356,15700.0,1500.2,1520.8,NDX,1510.5
105,16025.580078125,0.5561643835616439,15700.0,1398.4,1446.8,NDX,1422.6
106,16399.240234375,0.547945205479452,15700.0,1562.0,1580.7,NDX,1571.35
107,16135.919921875,0.5452054794520548,15700.0,1444.0,1468.8,NDX,1456.4
108,15877.7197265625,0.5424657534246575,15700.0,1318.0,1341.2,NDX,1329.6
109,15990.759765625,0.5397260273972603,15700.0,1342.1,1359.5,NDX,1350.8
110,15712.0400390625,0.536986301369863,15700.0,1251.3,1281.9,NDX,1266.6
111,15846.16015625,0.5287671232876713,15700.0,1278.0,1295.7,NDX,1286.85
112,16394.33984375,0.5232876712328767,15700.0,1554.6,1570.8,NDX,1562.6999999999998
113,16149.5703125,0.5205479452054794,15700.0,1411.9,1427.5,NDX,1419.7
114,16331.98046875,0.5178082191780822,15700.0,1494.0,1511.6,NDX,1502.8
115,16082.5498046875,0.5095890410958904,15700.0,1352.8,1366.7,NDX,1359.75
116,15914.900390625,0.5068493150684932,15700.0,1239.3,1255.9,NDX,1247.6
117,16289.58984375,0.5041095890410959,15700.0,1444.5,1470.6,NDX,1457.55
118,15863.9404296875,0.5013698630136987,15700.0,1201.9,1227.6,NDX,1214.75
119,15801.4599609375,0.4986301369863014,15700.0,1179.1,1199.2,NDX,1189.15
120,15627.6396484375,0.4904109589041096,15700.0,1076.6,1095.4,NDX,1086.0
121,15986.2802734375,0.4876712328767123,15700.0,1245.1,1263.2,NDX,1254.15
122,16180.1396484375,0.4849315068493151,15700.0,1340.0,1359.8,NDX,1349.9
123,16308.2099609375,0.4821917808219178,15700.0,1423.5,1445.1,NDX,1434.3
124,16567.5,0.4712328767123288,15700.0,1581.1,1599.3,NDX,1590.1999999999998
125,16488.66015625,0.4684931506849315,15700.0,1522.8,1537.1,NDX,1529.9499999999998
126,16491.009765625,0.4657534246575342,15700.0,1532.7,1543.9,NDX,1538.3000000000002
127,16429.099609375,0.4630136986301369,15700.0,1468.8,1483.0,NDX,1475.9
128,16320.080078125,0.4602739726027397,15700.0,1393.0,1410.5,NDX,1401.75
129,16501.76953125,0.4520547945205479,15700.0,1481.1,1494.6,NDX,1487.85
130,16279.73046875,0.4493150684931506,15700.0,1353.1,1368.5,NDX,1360.8
131,15771.7802734375,0.4465753424657534,15700.0,1073.0,1084.5,NDX,1078.75
132,15765.3603515625,0.4438356164383562,15700.0,1041.4,1061.5,NDX,1051.45
133,15592.1904296875,0.4410958904109589,15700.0,937.9,954.5,NDX,946.2
134,15614.4296875,0.4328767123287671,15700.0,928.6,941.2,NDX,934.9000000000001
135,15844.1201171875,0.4301369863013699,15700.0,1025.6,1036.3,NDX,1030.9499999999998
136,15905.099609375,0.4273972602739726,15700.0,1052.6,1069.8,NDX,1061.1999999999998
137,15495.6201171875,0.4246575342465753,15700.0,856.2,873.1,NDX,864.6500000000001
138,15611.58984375,0.421917808219178,15700.0,907.4,925.3,NDX,916.3499999999999
139,15210.759765625,0.410958904109589,15700.0,721.9,737.5,NDX,729.7
140,15047.83984375,0.4082191780821917,15700.0,630.9,646.5,NDX,638.7
141,14846.4599609375,0.4054794520547945,15700.0,549.8,564.9,NDX,557.3499999999999
142,14438.400390625,0.4027397260273972,15700.0,442.8,462.2,NDX,452.5
143,14509.580078125,0.3945205479452054,15700.0,440.8,459.5,NDX,450.15
144,14149.1201171875,0.3917808219178082,15700.0,332.0,347.1,NDX,339.55
145,14172.759765625,0.3890410958904109,15700.0,317.6,333.1,NDX,325.35
146,14003.1103515625,0.3863013698630137,15700.0,264.7,276.1,NDX,270.4
147,14454.6103515625,0.3835616438356164,15700.0,362.9,376.4,NDX,369.65
148,14930.0498046875,0.3753424657534246,15700.0,521.2,534.3,NDX,527.75
149,15019.6796875,0.3726027397260274,15700.0,532.1,543.3,NDX,537.7
150,15139.740234375,0.3698630136986301,15700.0,580.4,594.5,NDX,587.45
151,14501.1103515625,0.3671232876712328,15700.0,385.0,398.7,NDX,391.85
152,14694.349609375,0.3643835616438356,15700.0,434.2,445.7,NDX,439.95
153,14571.25,0.3561643835616438,15700.0,364.1,371.1,NDX,367.6
