,secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,am_settlement,contract_size,ss_flag,forward_price,expiry_indicator,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag,current_time
1880654,102480,2021-08-23,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,928.6,961.9,0,2,0.209176,0.471674,0.000137,5465.744,-657.8873,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.8164383561643835
1895828,102480,2021-08-24,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,969.7,993.2,0,2,0.212191,0.479104,0.000135,5478.264,-671.4327,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.8136986301369863
1910446,102480,2021-08-25,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,968.3,990.3,0,2,0.211167,0.480032,0.000136,5473.658,-669.5624,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.810958904109589
1926382,102480,2021-08-26,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,937.5,957.5,0,2,0.213516,0.468795,0.000135,5423.659,-674.8365,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.8082191780821918
1941618,102480,2021-08-27,NDX 220617C15700000,1,2022-06-17,2021-07-07,C,15700000,984.0,1016.7,0,2,0.210073,0.487999,0.000136,5481.829,-670.4856,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.8054794520547945
1957406,102480,2021-08-30,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,1088.6,1117.4,2,2,0.214096,0.512341,0.000133,5512.204,-692.9622,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7972602739726027
1972608,102480,2021-08-31,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,1077.1,1114.4,0,4,0.21522,0.509604,0.000133,5496.282,-697.6191,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7945205479452054
1987836,102480,2021-09-01,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,1103.5,1130.9,0,4,0.216751,0.513852,0.000132,5494.975,-704.9634,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7917808219178082
2003066,102480,2021-09-02,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,1102.9,1127.2,0,4,0.21737,0.513046,0.000132,5483.569,-708.4643,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7890410958904109
2017584,102480,2021-09-03,NDX 220617C15700000,1,2022-06-17,2021-08-30,C,15700000,1136.6,1163.1,0,4,0.219478,0.519937,0.00013,5486.576,-718.175,138101647,1,1,100,0,,,,,12490H10,NDX,9999.0,1,32768,,A,,NASDAQ 100 INDEX,I,E,,0.7863013698630137
